代碼,英文,中文
25711,Liam,
13415,Liebli,
14711,Liesel,
15934,Linda,
17313,Ling Ling,
27911,Lionel,
20112,Lisa,
17314,Liu Mei,
17802,Lizardman,
16114,Lora,
19314,Loren,
21813,Louise,
20014,Lucas,
10512,Lucasha,
26812,Lucia,
14111,Luer,
13231,Lulu and Friends,
13915,Luna,
10734,Lusha,
13413,Lushen,
14914,Lyn,
25814,Madeleine,
26611,Madeleine Cookie,
26613,Madeleine Cookie,
29612,Magnus,
18111,Malaka,
23313,Malite,
26911,Manon,
11315,Mantura,
26012,Manx,
14915,Mara,
22015,Martina,
22012,Maruna,
23512,Masha,
18713,Mav,
15931,Megan,
30512,Megumi Fushiguro,
16812,Mei Hou Wang,
21913,Melissa,
22113,Mellia,
23113,Mephisto,
21215,Mi Ying,
15313,Michelle,
11914,Mihael,
15035,Miho,
18311,Mihyang,
11611,Mikene,
25311,Miles,
15031,Mina,
25911,Minato,
29011,Minji and Sapsaree,
25812,Miriam,
23915,Mirinae,
17501,Mischievous Bat,
20714,Misty,
21211,Mo Long,
19614,Molly,
25213,Momo,
28912,Moogwang,
24511,Moore,
31411,Mork,
21313,Morris,
25211,Nana,
15033,Naomi,
19914,Natalie,
10134,Neal,
26013,Nebelung,
20001,Neostone Fighter,
31911,Nezuko Kamado,
31914,Nezuko Kamado,
31913,Nezuko Kamado,
31912,Nezuko Kamado,
16531,Nickel,
33411,Nina Williams,
11202,Nine-tailed Fox,
30611,Nobara Kugisaki,
30615,Nobara Kugisaki,
25612,Nora,
20311,Nubia,
22613,Odin,
19712,Okeanos,
35015,Old Wood,
35013,Old Wood,
25313,Oliver,
20113,Olivia,
25115,Ongyouki,
23315,Onyx,
21812,Ophilia,
18011,Orion,
13513,Orochi,
31313,Orphina,
15514,Pang,
28311,Parjanya,
27912,Patrick,
33312,Paul Phoenix,
33314,Paul Phoenix,
27112,PavÃ©,
14512,Perna,
14105,Phantom Thief,
14103,Phantom Thief,
23314,Phenaka,
34113,Pholus,
19612,Platy,
19711,Poseidon,
15711,Praha,
10513,Prilea,
16034,Prom,
16014,Prom,
21111,Psamathe,
18613,Pungbaek,
11731,Purian,
11711,Purian,
20611,Qebehsenuef,
21012,Racuni,
14612,Rakan,
17912,Raki,
15502,Rakshasa,
29111,Ramael and Judiah,
10733,Ramagos,
11033,Ramahan,
15515,Ran,
11032,Raoq,
21013,Raviti,
15932,Rebecca,
25912,Ren,
34111,Rhoetus,
16112,Rica,
31011,Rick,
16311,Rigel,
29711,Rigna,
25613,Riley,
15311,Rina,
17413,Ritesh,
25414,ROBO-E65,
25415,ROBO-F29,
25413,ROBO-G92,
25412,ROBO-P27,
25411,ROBO-R40,
15233,Roid,
30215,Ryomen Sukuna,
22011,Sabrina,
29113,Sadiel and Zeryah,
24713,Sagar,
28015,Salah,
16032,Sath,
23513,Savannah,
12133,Seal,
15713,Seara,
20512,Sekhmet,
19311,Sera,
12135,Seren,
28013,Shahat,
21912,Shaina,
11534,Shamann,
10634,Shamar,
10333,Shannon,
11212,Shihwa,
11813,Shimitae,
25011,Shizuka,
12034,Shren,
10635,Shumar,
12134,Sia,
13411,Sian,
10632,Sieq,
10612,Sieq,
16915,Sige,
14511,Sigmarus,
12131,Sisroo,
22413,Skogul,
27213,Smicer,
11211,Soha,
30711,Solvark,
23911,Songseol,
26113,Sonia,
21411,Sonnet,
13913,Sophia,
11532,Spectra,
35914,Stark,
19911,Stella,
15511,Su,
25111,Suiki,
25811,Susan,
13511,Susano,
21314,Tablo,
19011,Talc,
21911,Talia,
31813,Tanjiro Kamado,
31812,Tanjiro Kamado,
31811,Tanjiro Kamado,
19913,Tanya,
23311,Tanzaite,
14611,Taor,
22213,Taranys,
10631,Tarq,
10611,Tarq,
10214,Taru,
10332,Tatu,
18113,Taurus,
10914,Teon,
19212,Tesarion,
14513,Teshar,
19611,Tetra,
31312,Theodora,
19211,Theomars,
16035,Thrain,
18913,Tiana,
17214,Tien Qin,
11615,Tilasha,
32312,Tityus,
25012,Tomoe,
16914,Tosi,
20831,Tractor,
20012,Trevor,
21413,Triana,
29511,Triss,
19713,Triton,
27115,Truffle,
11811,Tyron,
28513,Usha,
13812,Vanessa,
28512,Varuna,
11535,Varus,
17012,Velajuel,
14411,Verad,
14712,Verdehile,
24915,Vereesa,
19215,Veromos,
14031,Vigor,
28515,Vritra,
30913,Werner,
30911,Werner,
30912,Werner,
32812,White Tiger Blade Master,
20713,Windy,
18413,Woochi,
18615,Woonsa,
18611,Woosa,
17311,Xiao Lin,
15034,Xiao Ling,
16813,Xing Zhe,
21212,Xiong Fei,
15513,Yen,
29413,Yennefer,
29412,Yennefer,
23913,Yeonhwa,
30412,Yuji Itadori,
29013,Yuna and Sapsaree,
14412,Zaiross,
32212,Zenitsu Agatsuma,
32214,Zenitsu Agatsuma,
32213,Zenitsu Agatsuma,
32211,Zenitsu Agatsuma,
22013,Zenobia,
27211,Zibala,
18112,Zibrolta,
27212,Zima,
16535,Zinc,
