代碼,英文,中文,屬性,職業,天生星,自動,覆蓋
14211,Blue Angelmon,,水,素材,1,D,
18211,Blue King Angelmon,,水,素材,1,D,
22611,Bolverk,布爾維克,水,體力,5,A,
26015,Bombay,,暗,體力,4,B,
22001,Boomerang Warrior,,水,攻擊,4,S,
22002,Boomerang Warrior,,火,攻擊,4,C,
22003,Boomerang Warrior,,風,攻擊,4,C,
22004,Boomerang Warrior,,光,攻擊,4,C,
22005,Boomerang Warrior,,暗,攻擊,4,C,
24711,Borgnine,,水,體力,5,B,
15601,Bounty Hunter,,水,攻擊,3,C,
15602,Bounty Hunter,,火,攻擊,3,C,
15603,Bounty Hunter,,風,攻擊,3,C,
15604,Bounty Hunter,,光,攻擊,3,C,
15605,Bounty Hunter,,暗,攻擊,3,C,
18912,Brandia,,火,攻擊,5,B,
10812,Bremis,,火,攻擊,2,D,
16213,Briand,,風,體力,4,B,
19414,Brig,,光,攻擊,4,B,
28211,Brita,,水,支援,5,B,
18001,Brownie Magician,,水,支援,4,C,
18002,Brownie Magician,,火,支援,4,C,
18003,Brownie Magician,,風,攻擊,4,C,
18004,Brownie Magician,,光,攻擊,4,C,
18005,Brownie Magician,,暗,支援,4,C,
20812,Bulldozer,,火,體力,3,C,
20832,Bulldozer,,火,體力,3,B,
17712,Burentau,,火,體力,3,C,
28913,Byungchul,,風,體力,5,B,
14715,Cadiz,加德斯,暗,攻擊,5,B,
10912,Cahule,,火,支援,2,D,
19515,Calicus,,暗,攻擊,3,C,
10315,Camaryn,,暗,攻擊,2,D,
10335,Camaryn,,暗,攻擊,2,D,
13811,Camilla,卡蜜拉,水,體力,5,B,
10815,Camules,,暗,攻擊,3,B,
22901,Cannon Girl,,水,攻擊,4,C,
22902,Cannon Girl,,火,攻擊,4,C,
22904,Cannon Girl,,光,攻擊,4,C,
22903,Cannon Girl,,風,攻擊,5,B,
22905,Cannon Girl,,暗,攻擊,5,A,
22713,Carbine,,風,攻擊,4,B,
22813,Carbine,,風,攻擊,4,B,
22712,Carcano,,火,攻擊,4,B,
22812,Carcano,,火,攻擊,4,B,
25712,Carlos,卡爾洛斯,火,攻擊,5,B,
30112,Carmella,,火,攻擊,4,B,
19412,Carrack,,火,攻擊,4,B,
19315,Cassie,,暗,攻擊,3,C,
24815,Cayde,,暗,防禦,4,B,
34011,Cecilia,,水,攻擊,5,B,
29915,Celestara,,暗,攻擊,5,B,
21414,Celia,,光,支援,5,B,
25813,Celine,,風,支援,4,B,
34101,Centaur Knight,,水,攻擊,4,C,
34102,Centaur Knight,,火,攻擊,4,C,
34103,Centaur Knight,,風,攻擊,4,C,
34104,Centaur Knight,,光,攻擊,4,C,
34105,Centaur Knight,,暗,攻擊,4,C,
14912,Ceres,,火,攻擊,3,B,
13215,Chacha,,暗,支援,2,D,
13235,Chacha and Friends,,暗,支援,2,D,
28313,Chakra,沙克拉,風,攻擊,5,B,
28413,Chakra,,風,攻擊,5,B,
21901,Chakram Dancer,,水,攻擊,4,C,
21902,Chakram Dancer,,火,攻擊,4,C,
21903,Chakram Dancer,,風,攻擊,4,C,
21904,Chakram Dancer,,光,攻擊,4,C,
21905,Chakram Dancer,,暗,攻擊,4,C,
11214,Chamie,,光,攻擊,4,B,
27013,Chamomile,,風,攻擊,4,B,
17411,Chandra,詹德拉,水,體力,5,A,
19501,Charger Shark,,水,攻擊,3,C,
19502,Charger Shark,,火,體力,3,C,
19503,Charger Shark,,風,體力,3,C,
19504,Charger Shark,,光,攻擊,3,C,
19505,Charger Shark,,暗,攻擊,3,C,
16113,Charlotte,夏洛特,風,攻擊,5,A,
18313,Chasun,,風,支援,4,S,
23713,Cheongpung,,風,攻擊,5,B,
10314,Cheryl,,光,支援,2,D,
10334,Cheryl,,光,支援,2,D,
13213,Chichi,,風,支援,2,D,
13233,Chichi and Friends,,風,支援,2,D,
20711,Chilling,,水,攻擊,4,A,
14601,Chimera,,水,攻擊,5,B,
14602,Chimera,,火,體力,5,B,
14603,Chimera,,風,攻擊,5,B,
14604,Chimera,,光,攻擊,5,B,
14605,Chimera,,暗,攻擊,5,B,
34114,Chiron,,光,攻擊,4,B,
18612,Chiwu,蚩尤,火,體力,5,B,
15312,Chloe,,火,支援,4,B,
27101,Choco Knight,,水,攻擊,4,C,
27102,Choco Knight,,火,攻擊,4,C,
27103,Choco Knight,,風,體力,4,C,
27104,Choco Knight,,光,攻擊,4,C,
27105,Choco Knight,,暗,體力,4,C,
16611,Chow,喬,水,體力,5,S,
15414,Chris,,光,攻擊,4,B,
22913,Christina,克莉絲汀,風,攻擊,5,B,
34014,Christine,,光,體力,5,B,
24411,CHUN-LI,,水,攻擊,4,B,
24412,CHUN-LI,,火,支援,4,B,
24413,CHUN-LI,,風,攻擊,4,B,
24414,CHUN-LI,,光,攻擊,4,B,
24415,CHUN-LI,,暗,支援,4,B,
19613,Cichlid,,風,支援,4,B,
29312,Ciri,,火,攻擊,4,B,
29315,Ciri,,暗,攻擊,4,B,
29311,Ciri,,水,攻擊,5,B,
29313,Ciri,,風,攻擊,5,B,
29314,Ciri,,光,攻擊,5,B,
26112,Claire,,火,攻擊,5,B,
13912,Clara,,火,攻擊,4,B,
25212,Coco,,火,攻擊,5,B,
10212,Cogma,,火,攻擊,2,D,
12112,Colleen,,火,支援,2,S,
12132,Colleen,,火,支援,2,S,
16214,Conrad,,光,攻擊,4,B,
16513,Copper,,風,防禦,3,C,
16533,Copper,,風,防禦,3,B,
24913,Cordelia,,風,攻擊,4,B,
22711,Covenant,,水,攻擊,4,B,
19301,Cow Girl,,水,攻擊,3,C,
19302,Cow Girl,,火,攻擊,3,C,
19303,Cow Girl,,風,攻擊,3,C,
19304,Cow Girl,,光,攻擊,3,S,
19305,Cow Girl,,暗,攻擊,3,C,
24714,Craig,克雷格,光,體力,5,A,
17915,Craka,克拉卡,暗,支援,5,B,
20813,Crane,,風,防禦,3,C,
20833,Crane,,風,防禦,3,B,
20815,Crawler,,暗,防禦,3,C,
20835,Crawler,,暗,防禦,3,B,
30101,Cyborg,,水,攻擊,4,C,
30102,Cyborg,,火,攻擊,4,C,
30103,Cyborg,,風,攻擊,4,C,
30104,Cyborg,,光,攻擊,4,C,
30105,Cyborg,,暗,攻擊,4,C,
34012,Cynthia,,火,支援,5,B,
10711,Dagora,,水,體力,3,B,
10731,Dagora,,水,體力,3,B,
13713,Dagorr,,風,攻擊,3,C,
10811,Daharenos,,水,攻擊,2,D,
33502,Daimon,,火,體力,5,B,
33512,Daimon,,火,體力,5,B,
34013,Daisy,,風,攻擊,5,B,
29015,Damee and Sapsaree,,暗,支援,4,B,
25314,Daniel,,光,攻擊,5,B,
28514,Danu,,光,攻擊,4,B,
21112,Daphnis,達佛涅斯,火,攻擊,5,S,
15214,Darion,,光,防禦,3,A,
15234,Darion,,光,防禦,3,A,
14215,Dark Angelmon,,暗,素材,1,D,
18215,Dark King Angelmon,,暗,素材,1,D,
16201,Death Knight,,水,支援,4,B,
16202,Death Knight,,火,體力,4,C,
16203,Death Knight,,風,體力,4,C,
16204,Death Knight,,光,攻擊,4,C,
16205,Death Knight,,暗,防禦,4,C,
25815,Deborah,,暗,支援,4,B,
11115,Decamaron,,暗,防禦,2,D,
11613,Delphoi,,風,支援,4,B,
23101,Demon,,水,攻擊,5,B,
23102,Demon,,火,攻擊,5,B,
23103,Demon,,風,體力,5,B,
23104,Demon,,光,體力,5,B,
23105,Demon,,暗,攻擊,5,S,
30712,Deragron,,火,攻擊,5,B,
20501,Desert Queen,,水,支援,5,B,
20502,Desert Queen,,火,支援,5,A,
20503,Desert Queen,,風,支援,5,A,
20504,Desert Queen,,光,支援,5,B,
20505,Desert Queen,,暗,支援,5,A,
28001,Desert Warrior,,水,支援,4,C,
28004,Desert Warrior,,光,體力,4,C,
28002,Desert Warrior,,火,體力,5,B,
28003,Desert Warrior,,風,體力,5,B,
28005,Desert Warrior,,暗,支援,5,B,
26115,Destiny,,暗,攻擊,5,B,
21914,Deva,,光,攻擊,4,B,
28315,Devaraja,德瓦拉賈,暗,體力,5,B,
28415,Devaraja,,暗,體力,5,B,
28601,Devil Maiden,,水,支援,5,A,
28602,Devil Maiden,,火,攻擊,5,B,
28603,Devil Maiden,,風,支援,5,S,
28604,Devil Maiden,,光,防禦,5,B,
28605,Devil Maiden,,暗,攻擊,5,B,
15105,Devilmon,,暗,素材,1,D,
17815,Devinodon,,暗,防禦,3,C,
24311,DHALSIM,,水,攻擊,4,B,
24312,DHALSIM,,火,支援,4,B,
24313,DHALSIM,,風,攻擊,4,B,
24314,DHALSIM,,光,支援,4,B,
24315,DHALSIM,,暗,防禦,4,B,
21513,Diana,黛安娜,風,體力,5,A,
21613,Diana,,風,體力,5,A,
16215,Dias,,暗,防禦,4,B,
21301,Dice Magician,,水,攻擊,4,B,
21302,Dice Magician,,火,攻擊,4,C,
21303,Dice Magician,,風,支援,4,C,
21304,Dice Magician,,光,支援,4,C,
21305,Dice Magician,,暗,支援,4,C,
28901,Dokkaebi Lord,,水,體力,5,B,
28902,Dokkaebi Lord,,火,體力,5,B,
28903,Dokkaebi Lord,,風,體力,5,B,
28904,Dokkaebi Lord,,光,體力,5,B,
28905,Dokkaebi Lord,,暗,體力,5,B,
29001,Dokkaebi Princess and Sapsaree,,水,支援,4,C,
29002,Dokkaebi Princess and Sapsaree,,火,支援,4,C,
29003,Dokkaebi Princess and Sapsaree,,風,支援,4,C,
29004,Dokkaebi Princess and Sapsaree,,光,支援,4,C,
29005,Dokkaebi Princess and Sapsaree,,暗,支援,4,C,
25713,Dominic,,風,攻擊,5,B,
18714,Dona,,光,支援,3,C,
23914,Dongbaek,,光,支援,4,B,
25214,Dorothy,,光,攻擊,5,B,
24512,Douglas,道格拉斯,火,攻擊,5,S,
25015,Douman,道滿,暗,支援,5,S,
21014,Dova,,光,支援,4,B,
18114,Dover,,光,攻擊,4,B,
35514,Dr. Albert,,光,攻擊,5,B,
35513,Dr. Christoph,,風,支援,5,B,
35511,Dr. Felix,,水,攻擊,5,B,
35512,Dr. Matteo,,火,支援,5,B,
35501,Dr. Plasma,,水,攻擊,5,B,
35502,Dr. Plasma,,火,支援,5,B,
35503,Dr. Plasma,,風,支援,5,B,
35504,Dr. Plasma,,光,攻擊,5,B,
35505,Dr. Plasma,,暗,支援,5,B,
35515,Dr. Richard,,暗,支援,5,B,
18012,Draco,,火,支援,4,B,
14401,Dragon,,水,防禦,5,A,
14402,Dragon,,火,攻擊,5,A,
14403,Dragon,,風,支援,5,A,
14404,Dragon,,光,體力,5,B,
14405,Dragon,,暗,攻擊,5,B,
16601,Dragon Knight,,水,體力,5,S,
16602,Dragon Knight,,火,攻擊,5,S,
16603,Dragon Knight,,風,支援,5,S,
16604,Dragon Knight,,光,體力,5,S,
16605,Dragon Knight,,暗,支援,5,A,
22715,Dragunov,,暗,攻擊,4,B,
22815,Dragunov,,暗,攻擊,4,B,
30701,Drakan Warrior,,水,防禦,5,B,
30702,Drakan Warrior,,火,攻擊,5,B,
30703,Drakan Warrior,,風,防禦,5,S,
30704,Drakan Warrior,,光,防禦,5,B,
30705,Drakan Warrior,,暗,攻擊,5,A,
30715,Drakar,德拉卡爾,暗,攻擊,5,A,
34213,Driana,,風,攻擊,5,B,
20814,Driller,,光,體力,3,C,
20834,Driller,,光,體力,3,B,
11715,Drogan,,暗,攻擊,3,C,
11735,Drogan,,暗,攻擊,3,B,
22201,Druid,,水,防禦,5,A,
22202,Druid,,火,防禦,5,B,
22203,Druid,,風,防禦,5,B,
22204,Druid,,光,體力,5,B,
22205,Druid,,暗,體力,5,B,
17201,Drunken Master,,水,攻擊,3,C,
17202,Drunken Master,,火,攻擊,3,C,
17203,Drunken Master,,風,攻擊,3,C,
17204,Drunken Master,,光,攻擊,3,C,
17205,Drunken Master,,暗,攻擊,3,C,
22101,Dryad,,水,支援,4,C,
22102,Dryad,,火,支援,4,C,
22103,Dryad,,風,支援,4,C,
22104,Dryad,,光,支援,4,C,
22105,Dryad,,暗,支援,4,C,
27804,Dual Blade,,光,攻擊,5,B,
20612,Duamutef,,火,防禦,4,B,
33804,Duke,,光,體力,4,C,
33814,Duke,,光,體力,4,B,
33805,Duke,,暗,體力,4,C,
33815,Duke,,暗,體力,4,B,
33801,Duke,,水,體力,5,B,
33811,Duke,,水,體力,5,B,
33802,Duke,,火,體力,5,B,
33812,Duke,,火,體力,5,B,
33803,Duke,,風,體力,5,B,
33813,Duke,,風,體力,5,B,
20715,Dusky,,暗,攻擊,4,B,
28314,Dyeus,,光,攻擊,5,B,
28414,Dyeus,,光,攻擊,5,B,
22414,Einheri,,光,防禦,4,B,
17713,Eintau,,風,體力,3,C,
23015,Eirgar,,暗,攻擊,5,B,
27712,Eivor,,火,體力,4,B,
27713,Eivor,,風,支援,4,B,
27711,Eivor,,水,支援,5,B,
27714,Eivor,埃沃爾,光,攻擊,5,B,
27715,Eivor,埃沃爾,暗,體力,5,A,
17013,Eladriel,,風,支援,5,B,
35301,Elder Horn,,水,攻擊,4,C,
35311,Elder Horn,,水,攻擊,4,B,
35305,Elder Horn,,暗,攻擊,4,C,
35315,Elder Horn,,暗,攻擊,4,B,
35302,Elder Horn,,火,攻擊,5,B,
35312,Elder Horn,,火,攻擊,5,B,
35303,Elder Horn,,風,攻擊,5,B,
35313,Elder Horn,,風,攻擊,5,B,
35304,Elder Horn,,光,攻擊,5,B,
35314,Elder Horn,,光,攻擊,5,B,
21514,Eleanor,艾雷諾,光,體力,5,A,
21614,Eleanor,,光,體力,5,A,
10801,Elemental,,水,攻擊,2,D,
10802,Elemental,,火,攻擊,2,D,
10803,Elemental,,風,攻擊,2,D,
10804,Elemental,,光,攻擊,3,C,
10805,Elemental,,暗,攻擊,3,C,
26815,Elena,,暗,支援,5,B,
28113,Eleni,,風,攻擊,5,B,
18914,Elenoa,,光,支援,5,B,
32313,Elephas,,風,防禦,5,B,
34015,Elise,,暗,攻擊,5,B,
16704,Elite Magical Archer,,光,攻擊,3,C,
30113,Eliza,,風,攻擊,4,B,
25614,Ella,艾爾拉,光,支援,5,B,
12011,Ellena,,水,攻擊,3,C,
12031,Ellena,,水,攻擊,3,B,
14911,Ellin,,水,攻擊,3,C,
11314,Elpuria,,光,體力,3,C,
19214,Elsharion,艾莎莉恩,光,攻擊,5,A,
10111,Elucia,,水,支援,3,C,
10131,Elucia,,水,支援,3,B,
11714,Eludain,,光,攻擊,3,C,
11734,Eludain,,光,攻擊,3,B,
14514,Eludia,埃魯迪亞,光,攻擊,5,B,
20911,Eluin,,水,攻擊,3,C,
20901,Elven Ranger,,水,攻擊,3,C,
20902,Elven Ranger,,火,支援,3,C,
20903,Elven Ranger,,風,攻擊,3,C,
20904,Elven Ranger,,光,攻擊,3,C,
20905,Elven Ranger,,暗,攻擊,4,C,
22914,Emily,,光,攻擊,4,B,
20111,Emma,,水,支援,4,B,
29912,Enshia,,火,攻擊,5,B,
15301,Epikion Priest,,水,支援,3,C,
15303,Epikion Priest,,風,支援,3,B,
15305,Epikion Priest,,暗,體力,3,C,
15302,Epikion Priest,,火,支援,4,C,
15304,Epikion Priest,,光,支援,4,C,
11814,Eredas,,光,體力,4,B,
30713,Ereshion,埃萊希翁,風,防禦,5,S,
11313,Ermeda,,風,體力,3,B,
20913,Erwin,,風,攻擊,3,C,
14014,Eshir,,光,體力,3,A,
14034,Eshir,伊休魯,光,體力,3,A,
26511,Espresso Cookie,,水,攻擊,4,B,
26512,Espresso Cookie,,火,攻擊,4,B,
26513,Espresso Cookie,,風,攻擊,4,B,
26514,Espresso Cookie,,光,攻擊,4,B,
26515,Espresso Cookie,,暗,攻擊,4,B,
17913,Ethna,艾德娜,風,攻擊,5,A,
28914,Euldong,,光,體力,5,B,
29014,Eunbee and Sapsaree,,光,支援,4,B,
13914,Eva,,光,攻擊,4,B,
27915,Evan,,暗,攻擊,4,B,
27413,Ezio,,風,攻擊,4,B,
27415,Ezio,,暗,攻擊,4,B,
27411,Ezio,,水,攻擊,5,B,
27412,Ezio,,火,攻擊,5,B,
27414,Ezio,,光,攻擊,5,B,
15812,Fairo,,火,攻擊,3,C,
10103,Fairy,,風,支援,2,D,
10105,Fairy,,暗,攻擊,2,D,
10101,Fairy,,水,支援,3,C,
10102,Fairy,,火,攻擊,3,C,
10104,Fairy,,光,支援,3,C,
21101,Fairy King,,水,攻擊,5,B,
21102,Fairy King,,火,攻擊,5,S,
21103,Fairy King,,風,支援,5,A,
21104,Fairy King,,光,攻擊,5,B,
21105,Fairy King,,暗,支援,5,A,
19104,Fairy Queen,,光,支援,3,S,
16714,Fami,,光,攻擊,3,C,
11312,Fao,,火,體力,3,B,
28112,Federica,,火,攻擊,5,B,
16211,Fedora,,水,支援,4,B,
17315,Fei,,暗,攻擊,4,B,
22114,Felleria,,光,支援,4,B,
21213,Feng Yan,,風,防禦,5,A,
17015,Fermion,,暗,防禦,5,A,
35802,Fern,,火,攻擊,4,C,
35812,Fern,,火,攻擊,4,B,
35805,Fern,,暗,攻擊,4,C,
35815,Fern,,暗,攻擊,4,B,
35801,Fern,,水,攻擊,5,B,
35811,Fern,,水,攻擊,5,B,
35803,Fern,,風,攻擊,5,B,
35813,Fern,,風,攻擊,5,B,
35804,Fern,,光,攻擊,5,B,
35814,Fern,,光,攻擊,5,B,
13414,Figaro,,光,體力,4,B,
29715,Fiona,,暗,攻擊,4,B,
12301,Forest Keeper,,水,防禦,1,D,
12302,Forest Keeper,,火,防禦,1,D,
12303,Forest Keeper,,風,防禦,1,D,
19114,Fran,,光,支援,3,S,
20801,Frankenstein,,水,防禦,3,C,
20802,Frankenstein,,火,體力,3,C,
20803,Frankenstein,,風,防禦,3,C,
20804,Frankenstein,,光,體力,3,C,
