代碼,圖示,英文,中文,屬性,職業,天生星,覺醒,收錄,強度,滿HP,滿ATK,滿DEF,SPD,暴率,暴傷,抵抗,命中,取得方式
14202,unit_icon_0016_1_4.png,Angelmon,,火,素材,1,未覺醒,可召喚,D,165,11,11,0,0,0,0,0,Angel Garden / Hall of Fire / Glory Shop
14203,unit_icon_0016_2_4.png,Angelmon,,風,素材,1,未覺醒,可召喚,D,165,11,11,0,0,0,0,0,Angel Garden / Hall of Wind / Glory Shop
14204,unit_icon_0016_3_4.png,Angelmon,,光,素材,1,未覺醒,可召喚,D,165,11,11,0,0,0,0,0,Angel Garden / Hall of Light / Glory Shop
14205,unit_icon_0016_4_4.png,Angelmon,,暗,素材,1,未覺醒,可召喚,D,165,11,11,0,0,0,0,0,Angel Garden / Hall of Dark / Glory Shop
19312,unit_icon_0032_1_4.png,Anne,,火,攻擊,3,覺醒,可召喚,C,8895,703,516,102,15,50,15,25,Guild Shop
16312,unit_icon_0024_1_1.png,Antares,,火,攻擊,4,覺醒,可召喚,B,9720,790,538,96,15,50,15,0,Legendary Scroll / Fire Scroll / Mystical Scroll or Crystal Summon
20401,unit_icon_0038_0_0.png,Anubis,,水,攻擊,4,未覺醒,可召喚,C,9060,637,571,100,15,50,15,0,Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
20402,unit_icon_0038_1_0.png,Anubis,,火,支援,4,未覺醒,可召喚,C,9555,571,604,100,15,50,15,0,Legendary Scroll / Fire Scroll / Mystical Scroll or Crystal Summon
20403,unit_icon_0038_2_0.png,Anubis,,風,攻擊,4,未覺醒,可召喚,C,8565,648,593,100,15,50,15,0,Legendary Scroll / Wind Scroll / Mystical Scroll or Crystal Summon
20404,unit_icon_0038_3_0.png,Anubis,,光,支援,4,未覺醒,可召喚,C,9225,615,582,100,15,50,15,0,Scroll of Light and Darkness
20405,unit_icon_0038_4_0.png,Anubis,,暗,體力,5,未覺醒,可召喚,B,11370,637,582,100,15,50,15,0,Scroll of Light and Darkness
19511,unit_icon_0034_0_2.png,Aqcus,,水,攻擊,3,覺醒,可召喚,C,9060,714,494,105,15,50,15,0,Water Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
18013,unit_icon_0028_2_4.png,Aquila,,風,攻擊,4,覺醒,可召喚,B,9555,747,593,106,15,50,15,0,Legendary Scroll / Wind Scroll / Mystical Scroll or Crystal Summon
34603,unit_icon_0206_1_3.png,Aragorn,,風,體力,4,未覺醒,非常駐,C,10215,582,549,101,15,50,15,0,
34613,unit_icon_0206_1_3.png,Aragorn,,風,體力,4,覺醒,可召喚,B,11370,637,582,102,15,50,15,0,
34604,unit_icon_0206_1_4.png,Aragorn,,光,體力,4,未覺醒,非常駐,C,10710,549,549,101,15,50,15,0,
34614,unit_icon_0206_1_4.png,Aragorn,,光,體力,4,覺醒,可召喚,B,11535,604,604,102,15,50,15,0,
34601,unit_icon_0206_1_1.png,Aragorn,,水,體力,5,未覺醒,非常駐,B,11535,604,604,101,15,50,15,0,
34611,unit_icon_0206_1_1.png,Aragorn,,水,體力,5,覺醒,可召喚,B,12840,648,637,102,15,50,15,25,
34602,unit_icon_0206_1_2.png,Aragorn,,火,體力,5,未覺醒,非常駐,B,11535,593,615,101,15,50,15,0,
34612,unit_icon_0206_1_2.png,Aragorn,,火,體力,5,覺醒,可召喚,B,12675,626,670,102,30,50,15,0,
34605,unit_icon_0206_1_5.png,Aragorn,,暗,體力,5,未覺醒,非常駐,B,11700,582,615,101,15,50,15,0,
34615,unit_icon_0206_1_5.png,Aragorn,,暗,體力,5,覺醒,可召喚,A,13005,615,659,102,15,50,15,25,
11213,unit_icon_0004_2_3.png,Arang,,風,攻擊,4,覺醒,可召喚,B,9885,944,373,102,15,50,15,0,Fusion / Legendary Scroll / Wind Scroll / Mystical Scroll or Crystal Summon
29814,unit_icon_0152_1_4.png,Arcana,,光,支援,4,覺醒,可召喚,B,10380,670,615,103,15,50,15,0,
34001,unit_icon_0192_0_1.png,Arcane Weapon,,水,攻擊,5,未覺醒,可召喚,B,9885,747,571,98,15,50,15,0,
34002,unit_icon_0192_0_2.png,Arcane Weapon,,火,支援,5,未覺醒,可召喚,B,10050,692,615,98,15,50,15,0,
34003,unit_icon_0192_0_3.png,Arcane Weapon,,風,攻擊,5,未覺醒,可召喚,B,9390,769,582,98,15,50,15,0,
34004,unit_icon_0192_0_4.png,Arcane Weapon,,光,體力,5,未覺醒,可召喚,B,11040,648,593,98,15,50,15,0,
34005,unit_icon_0192_0_5.png,Arcane Weapon,,暗,攻擊,5,未覺醒,可召喚,B,9225,758,604,98,15,50,15,0,
17001,unit_icon_0019_0_1.png,Archangel,,水,支援,5,未覺醒,可召喚,A,9555,593,747,99,15,50,15,0,Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
17002,unit_icon_0019_1_1.png,Archangel,,火,支援,5,未覺醒,可召喚,A,9885,692,626,99,15,50,15,0,Legendary Scroll / Fire Scroll / Mystical Scroll or Crystal Summon
17003,unit_icon_0019_2_1.png,Archangel,,風,支援,5,未覺醒,可召喚,B,8565,725,681,99,15,50,15,0,Legendary Scroll / Wind Scroll / Mystical Scroll or Crystal Summon
17004,unit_icon_0019_3_1.png,Archangel,,光,支援,5,未覺醒,可召喚,B,10545,615,659,99,15,50,15,0,Scroll of Light and Darkness
17005,unit_icon_0019_4_1.png,Archangel,,暗,防禦,5,未覺醒,可召喚,A,10215,571,725,99,15,50,15,0,Scroll of Light and Darkness
15413,unit_icon_0020_2_3.png,Ardella,,風,攻擊,3,覺醒,可召喚,C,7575,845,461,105,15,50,15,0,Secret Dungeon / Wind Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
34214,unit_icon_0202_1_4.png,Arella,,光,支援,5,覺醒,可召喚,B,11040,714,692,103,15,50,15,25,
14713,unit_icon_0016_2_2.png,Argen,,風,攻擊,4,覺醒,可召喚,B,9555,790,549,99,15,50,15,0,Fusion / Legendary Scroll / Wind Scroll / Mystical Scroll or Crystal Summon
13314,unit_icon_0011_3_3.png,Aria,,光,攻擊,4,覺醒,可召喚,B,9390,747,604,106,15,50,15,0,Scroll of Light and Darkness
26814,unit_icon_0099_1_4.png,Ariana,,光,支援,5,覺醒,可召喚,B,11040,659,747,96,15,50,15,0,
17011,unit_icon_0019_0_2.png,Ariel,,水,支援,5,覺醒,可召喚,A,11850,604,747,100,15,50,40,0,Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
10414,unit_icon_0001_3_2.png,Arkajan,,光,防禦,2,覺醒,可召喚,D,8565,417,659,101,15,50,15,0,Secret Dungeon
16212,unit_icon_0024_1_3.png,Arnold,,火,體力,4,覺醒,可召喚,B,11700,604,593,101,15,50,15,25,Guild Shop / Legendary Scroll / Fire Scroll / Mystical Scroll or Crystal Summon
23701,unit_icon_0056_0_1.png,Art Master,,水,支援,5,未覺醒,可召喚,S,10215,670,626,101,15,50,15,0,Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
23702,unit_icon_0056_0_2.png,Art Master,,火,支援,5,未覺醒,可召喚,A,10050,681,626,101,15,50,15,0,Legendary Scroll / Fire Scroll / Mystical Scroll or Crystal Summon
23703,unit_icon_0056_0_3.png,Art Master,,風,攻擊,5,未覺醒,可召喚,B,9885,790,527,101,15,50,15,0,Legendary Scroll / Wind Scroll / Mystical Scroll or Crystal Summon
23704,unit_icon_0056_0_4.png,Art Master,,光,攻擊,5,未覺醒,可召喚,B,9390,801,549,101,15,50,15,0,Scroll of Light and Darkness
23705,unit_icon_0056_0_5.png,Art Master,,暗,支援,5,未覺醒,可召喚,B,10380,714,571,101,15,50,15,0,Scroll of Light and Darkness
17014,unit_icon_0019_3_2.png,Artamiel,,光,支援,5,覺醒,可召喚,B,11535,604,769,100,15,50,40,0,Scroll of Light and Darkness
34115,unit_icon_0193_1_5.png,Asbolus,,暗,攻擊,4,覺醒,可召喚,B,9390,790,560,104,15,50,15,0,
11815,unit_icon_0007_4_0.png,Aschubel,,暗,攻擊,4,覺醒,可召喚,B,11205,736,494,105,15,50,15,0,Scroll of Light and Darkness
28012,unit_icon_0115_1_2.png,Ashour,,火,體力,5,覺醒,可召喚,B,12180,725,604,103,30,50,15,0,
17914,unit_icon_0023_3_1.png,Asima,,光,攻擊,5,覺醒,可召喚,B,10710,812,615,104,15,50,15,25,Scroll of Light and Darkness
19901,unit_icon_0036_0_1.png,Assassin,,水,攻擊,4,未覺醒,可召喚,C,10050,648,494,101,15,50,15,0,Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
19902,unit_icon_0036_1_1.png,Assassin,,火,攻擊,4,未覺醒,可召喚,C,8400,703,549,101,15,50,15,0,Legendary Scroll / Fire Scroll / Mystical Scroll or Crystal Summon
19903,unit_icon_0036_2_1.png,Assassin,,風,攻擊,4,未覺醒,可召喚,C,8730,670,560,101,15,50,15,0,Legendary Scroll / Wind Scroll / Mystical Scroll or Crystal Summon
19904,unit_icon_0036_3_1.png,Assassin,,光,攻擊,4,未覺醒,可召喚,C,8565,747,494,101,15,50,15,0,Scroll of Light and Darkness
19905,unit_icon_0036_4_1.png,Assassin,,暗,攻擊,4,未覺醒,可召喚,C,9060,736,472,101,15,50,15,0,Scroll of Light and Darkness
19812,unit_icon_0036_1_4.png,Astar,,火,攻擊,4,覺醒,可召喚,B,8895,834,549,110,15,50,15,0,Legendary Scroll / Fire Scroll / Mystical Scroll or Crystal Summon
28213,unit_icon_0117_1_3.png,Astrid,,風,支援,4,覺醒,可召喚,B,10050,648,659,103,15,50,15,0,
28501,unit_icon_0119_0_1.png,Asura,,水,攻擊,4,未覺醒,可召喚,C,9555,670,505,100,15,50,15,0,
28502,unit_icon_0119_0_2.png,Asura,,火,攻擊,4,未覺醒,可召喚,C,8235,747,516,100,15,50,15,0,
28503,unit_icon_0119_0_3.png,Asura,,風,攻擊,4,未覺醒,可召喚,C,8895,758,461,100,15,50,15,0,
28504,unit_icon_0119_0_4.png,Asura,,光,攻擊,4,未覺醒,可召喚,C,9060,736,472,100,15,50,15,0,
28505,unit_icon_0119_0_5.png,Asura,,暗,體力,4,未覺醒,可召喚,C,9720,615,549,100,15,50,15,0,
11612,unit_icon_0006_1_1.png,Atenai,,火,支援,4,覺醒,可召喚,B,12510,527,615,99,15,50,15,0,Legendary Scroll / Fire Scroll / Mystical Scroll or Crystal Summon
26914,unit_icon_0097_1_4.png,Audrey,,光,防禦,5,覺醒,可召喚,B,9720,615,878,101,15,50,15,25,
28114,unit_icon_0116_1_4.png,Aurelia,,光,支援,4,覺醒,可召喚,B,9885,703,615,100,15,50,15,0,
20411,unit_icon_0038_0_1.png,Avaris,,水,攻擊,4,覺醒,可召喚,B,9555,736,604,101,15,50,15,0,Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
31202,unit_icon_0164_1_2.png,Aya,,火,體力,4,未覺醒,非常駐,B,11370,604,615,102,15,50,15,0,
31212,unit_icon_0164_1_2.png,Aya,,火,體力,4,覺醒,可召喚,B,11370,604,615,102,15,50,15,0,
31205,unit_icon_0164_1_5.png,Aya,,暗,攻擊,4,未覺醒,非常駐,B,9885,769,549,102,15,50,15,0,
31215,unit_icon_0164_1_5.png,Aya,,暗,攻擊,4,覺醒,可召喚,B,9885,769,549,102,15,50,15,0,
31201,unit_icon_0164_1_1.png,Aya,,水,攻擊,5,未覺醒,非常駐,B,10545,780,659,102,15,50,15,0,
31211,unit_icon_0164_1_1.png,Aya,,水,攻擊,5,覺醒,可召喚,B,10545,780,659,102,15,50,15,25,
31203,unit_icon_0164_1_3.png,Aya,,風,體力,5,未覺醒,非常駐,B,12015,670,670,102,15,50,15,0,
31213,unit_icon_0164_1_3.png,Aya,,風,體力,5,覺醒,可召喚,B,12015,670,670,102,15,50,15,25,
31204,unit_icon_0164_1_4.png,Aya,,光,體力,5,未覺醒,非常駐,B,12180,626,703,102,15,50,40,0,
31214,unit_icon_0164_1_4.png,Aya,,光,體力,5,覺醒,可召喚,B,12180,626,703,102,15,50,40,0,
32501,unit_icon_0179_1_1.png,Azure Dragon Swordsman,,水,攻擊,4,未覺醒,非常駐,C,9060,681,527,102,15,50,15,0,
32511,unit_icon_0179_1_1.png,Azure Dragon Swordsman,,水,攻擊,4,覺醒,可召喚,B,9720,758,571,103,15,50,15,0,
32505,unit_icon_0179_1_5.png,Azure Dragon Swordsman,,暗,攻擊,4,未覺醒,非常駐,C,9225,670,527,102,15,50,15,0,
32515,unit_icon_0179_1_5.png,Azure Dragon Swordsman,,暗,攻擊,4,覺醒,可召喚,B,10050,747,560,103,15,50,15,0,
32502,unit_icon_0179_1_2.png,Azure Dragon Swordsman,,火,攻擊,5,未覺醒,非常駐,B,9720,780,549,102,15,50,15,0,
32512,unit_icon_0179_1_2.png,Azure Dragon Swordsman,,火,攻擊,5,覺醒,可召喚,B,10545,856,582,103,30,50,15,0,
32503,unit_icon_0179_1_3.png,Azure Dragon Swordsman,,風,攻擊,5,未覺醒,非常駐,B,9555,790,549,102,15,50,15,0,
32513,unit_icon_0179_1_3.png,Azure Dragon Swordsman,,風,攻擊,5,覺醒,可召喚,B,10380,878,571,103,30,50,15,0,
32504,unit_icon_0179_1_4.png,Azure Dragon Swordsman,,光,攻擊,5,未覺醒,非常駐,B,9390,790,560,102,15,50,15,0,
32514,unit_icon_0179_1_4.png,Azure Dragon Swordsman,,光,攻擊,5,覺醒,可召喚,B,10215,867,593,103,30,50,15,0,
18514,unit_icon_0030_3_4.png,Baekdu,,光,攻擊,3,覺醒,可召喚,C,9060,670,538,100,15,50,15,0,Scroll of Light and Darkness
23112,unit_icon_0052_1_4.png,Bael,,火,攻擊,5,覺醒,可召喚,B,10215,856,604,104,30,50,15,0,Legendary Scroll / Fire Scroll / Mystical Scroll or Crystal Summon
22411,unit_icon_0047_0_0.png,Bagir,,水,防禦,3,覺醒,可召喚,C,8895,483,736,114,15,50,15,0,Water Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
22014,unit_icon_0045_3_3.png,Bailey,,光,攻擊,4,覺醒,可召喚,B,9060,758,615,101,15,50,15,0,Scroll of Light and Darkness
22612,unit_icon_0047_1_2.png,Baleygr,,火,攻擊,5,覺醒,可召喚,B,10215,790,670,102,30,50,15,0,Fusion
23511,unit_icon_0054_0_0.png,Barbara,,水,攻擊,5,覺醒,可召喚,B,9720,845,648,108,15,50,15,25,Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
23611,unit_icon_0054_0_1.png,Barbara,,水,攻擊,5,覺醒,非常駐,B,9720,845,648,108,15,50,15,25,
18801,unit_icon_0031_0_4.png,Barbaric King,,水,攻擊,4,未覺醒,可召喚,C,9390,637,549,102,15,50,15,0,Guild Shop / Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
18802,unit_icon_0031_1_4.png,Barbaric King,,火,攻擊,4,未覺醒,可召喚,C,9225,714,483,102,15,50,15,0,Guild Shop / Legendary Scroll / Fire Scroll / Mystical Scroll or Crystal Summon
18803,unit_icon_0031_2_4.png,Barbaric King,,風,攻擊,4,未覺醒,可召喚,B,9390,604,582,102,15,50,15,0,Guild Shop / Legendary Scroll / Wind Scroll / Mystical Scroll or Crystal Summon
18804,unit_icon_0031_3_4.png,Barbaric King,,光,攻擊,4,未覺醒,可召喚,C,9225,637,560,102,15,50,15,0,Scroll of Light and Darkness
18805,unit_icon_0031_4_4.png,Barbaric King,,暗,攻擊,4,未覺醒,可召喚,C,9390,725,461,102,15,50,15,0,Scroll of Light and Darkness
11812,unit_icon_0007_1_0.png,Baretta,,火,攻擊,4,覺醒,可召喚,S,11205,681,549,105,15,50,15,0,Fusion / Legendary Scroll / Fire Scroll / Mystical Scroll or Crystal Summon
19413,unit_icon_0034_2_0.png,Barque,,風,攻擊,4,覺醒,可召喚,B,9885,769,549,108,15,50,15,0,Legendary Scroll / Wind Scroll / Mystical Scroll or Crystal Summon
19015,unit_icon_0033_4_1.png,Basalt,,暗,防禦,3,覺醒,可召喚,C,9885,439,714,99,15,50,15,0,Scroll of Light and Darkness
20511,unit_icon_0039_0_2.png,Bastet,,水,支援,5,覺醒,可召喚,B,11850,637,714,101,15,50,40,0,Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
26101,unit_icon_0087_0_1.png,Battle Angel,,水,攻擊,5,未覺醒,可召喚,A,10050,714,593,103,15,50,15,0,
26102,unit_icon_0087_0_2.png,Battle Angel,,火,攻擊,5,未覺醒,可召喚,B,9390,834,516,103,15,50,15,0,
26103,unit_icon_0087_0_3.png,Battle Angel,,風,攻擊,5,未覺醒,可召喚,S,9555,790,549,103,15,50,15,0,
26104,unit_icon_0087_0_4.png,Battle Angel,,光,攻擊,5,未覺醒,可召喚,A,9720,747,582,103,15,50,15,0,
26105,unit_icon_0087_0_5.png,Battle Angel,,暗,攻擊,5,未覺醒,可召喚,B,9555,801,538,103,15,50,15,0,
19001,unit_icon_0033_0_0.png,Battle Mammoth,,水,體力,3,未覺醒,可召喚,C,9060,494,549,98,15,50,15,0,Water Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
19002,unit_icon_0033_1_0.png,Battle Mammoth,,火,體力,3,未覺醒,可召喚,C,9885,450,538,98,15,50,15,0,Fire Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
19003,unit_icon_0033_2_0.png,Battle Mammoth,,風,防禦,3,未覺醒,可召喚,C,8235,461,637,98,15,50,15,0,Wind Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
19004,unit_icon_0033_3_0.png,Battle Mammoth,,光,體力,3,未覺醒,可召喚,C,9390,494,527,98,15,50,15,0,Scroll of Light and Darkness
19005,unit_icon_0033_4_0.png,Battle Mammoth,,暗,防禦,3,未覺醒,可召喚,C,9060,439,604,98,15,50,15,0,Scroll of Light and Darkness
17601,unit_icon_0028_0_0.png,Battle Scorpion,,水,防禦,2,未覺醒,可召喚,D,6585,439,604,103,15,50,15,0,Chiruka Remains / Unknown Scroll or Social Summon
17602,unit_icon_0028_1_0.png,Battle Scorpion,,火,防禦,2,未覺醒,可召喚,D,6255,428,637,103,15,50,15,0,Unknown Scroll or Social Summon
17603,unit_icon_0028_2_0.png,Battle Scorpion,,風,防禦,2,未覺醒,可召喚,D,6915,450,571,103,15,50,15,0,Unknown Scroll or Social Summon
27511,unit_icon_0110_1_1.png,Bayek,,水,支援,4,覺醒,可召喚,B,10050,714,593,103,15,50,15,0,
27514,unit_icon_0110_1_4.png,Bayek,,光,體力,4,覺醒,可召喚,B,11535,659,549,103,15,50,15,0,
27512,unit_icon_0110_1_2.png,Bayek,巴耶克,火,體力,5,覺醒,可召喚,B,12180,725,604,103,30,50,15,0,
27513,unit_icon_0110_1_3.png,Bayek,巴耶克,風,體力,5,覺醒,可召喚,B,12510,714,593,103,15,50,15,25,
27515,unit_icon_0110_1_5.png,Bayek,,暗,支援,5,覺醒,可召喚,B,10875,747,670,103,30,50,15,0,
13701,unit_icon_0013_0_4.png,Bearman,,水,體力,3,未覺醒,可召喚,C,10545,351,593,100,15,50,15,0,Secret Dungeon / Water Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
13702,unit_icon_0013_1_4.png,Bearman,,火,體力,3,未覺醒,可召喚,C,10215,362,604,100,15,50,15,0,Secret Dungeon / Fire Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
13703,unit_icon_0013_2_4.png,Bearman,,風,攻擊,3,未覺醒,可召喚,C,9555,516,494,100,15,50,15,0,Secret Dungeon / Wind Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
13704,unit_icon_0013_3_4.png,Bearman,,光,體力,3,未覺醒,可召喚,B,9720,494,505,100,15,50,15,0,Secret Dungeon / Scroll of Light and Darkness
13705,unit_icon_0013_4_4.png,Bearman,,暗,體力,3,未覺醒,可召喚,C,9225,461,571,100,15,50,15,0,Secret Dungeon / Scroll of Light and Darkness
18501,unit_icon_0030_0_3.png,Beast Hunter,,水,攻擊,3,未覺醒,可召喚,C,7905,582,538,99,15,50,15,0,Water Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
