地下城,隊伍,角色(中),角色(英),定位,持有,目標套裝,湊齊套裝,平均效率,缺洞
巨龍巢穴 DB12,雙防破速隊,Verad,Verad,免疫+控,✓,迅速(4)+意志(2),迅速x4 意志x2,112.3,0
死者之塔 NB12,通用隊,Veromos,Veromos,淨化+持續,✓,絕望(4)+意志(2),絕望x4 意志x2,117.7,0
死者之塔 NB12,通用隊,Bernard,Bernard,回能,✓,迅速(4)+意志(2),迅速x4 意志x2,118.7,0
死者之塔 NB12,通用隊,Sabrina,Sabrina,破防+暈,✓,迅速(4)+集中(2),迅速x4 集中x2,112.2,0
死者之塔 NB12,通用隊,Sigmarus,Sigmarus,冰凍,✓,激怒(4)+刀刃(2),激怒x4 刀刃x2,107.1,0
死者之塔 NB12,通用隊,Loren,Loren,多段輸出,✓,絕望(4)+刀刃(2),絕望x4 刀刃x2,114.8,0
鋼鐵要塞 SF10,多段隊,Veromos,Veromos,淨化+破防,✓,絕望(4)+意志(2),絕望x4 意志x2,117.5,0
鋼鐵要塞 SF10,多段隊,Bernard,Bernard,回能,✓,迅速(4)+意志(2),迅速x4 意志x2,118.9,0
鋼鐵要塞 SF10,多段隊,Tesarion,Tesarion,多段+灼燒,✓,暴走(4)+刀刃(2),暴走x4 刀刃x2,118.0,0
鋼鐵要塞 SF10,多段隊,Sath,Sath,破防+持續,✓,絕望(4)+意志(2),絕望x4 意志x2,112.7,0
鋼鐵要塞 SF10,多段隊,Colleen,Colleen,奶+吸血,✓,吸血(4)+意志(2),吸血x4 意志x2,110.9,0
懲罰者地穴 PC10,固傷隊,Veromos,Veromos,淨化,✓,絕望(4)+意志(2),絕望x4 意志x2,117.7,0
懲罰者地穴 PC10,固傷隊,Theomars,Theomars,無視抗性輸出,✓,暴走(4)+刀刃(2),暴走x4 刀刃x2,118.0,0
懲罰者地穴 PC10,固傷隊,Bernard,Bernard,回能,✓,迅速(4)+意志(2),迅速x4 意志x2,118.7,0
懲罰者地穴 PC10,固傷隊,Chasun,Chasun,奶+回能,✓,迅速(4)+意志(2),迅速x4 意志x2,114.5,0
懲罰者地穴 PC10,固傷隊,Fran,Fran,免疫+奶,✓,迅速(4)+意志(2),迅速x4 意志x2,112.6,0
元素地下城,通用清怪隊,Lushen,Lushen,範圍斬殺,✓,激怒(4)+刀刃(2),激怒x4 刀刃x2,113.9,0
元素地下城,通用清怪隊,Veromos,Veromos,淨化+持續,✓,絕望(4)+意志(2),絕望x4 意志x2,117.7,0
元素地下城,通用清怪隊,Bernard,Bernard,回能,✓,迅速(4)+意志(2),迅速x4 意志x2,118.7,0
元素地下城,通用清怪隊,Colleen,Colleen,奶+吸血,✓,吸血(4)+意志(2),吸血x4 意志x2,111.2,0
次元異界龍 火(水隊),打火龍,Sigmarus,Sigmarus,冰凍+輸出,✓,激怒(4)+刀刃(2),激怒x4 刀刃x2,113.9,0
次元異界龍 火(水隊),打火龍,Tetra,Tetra,破防,✓,迅速(4)+集中(2),迅速x4 集中x2,114.0,0
次元異界龍 火(水隊),打火龍,Colleen,Colleen,奶+吸血,✓,吸血(4)+意志(2),吸血x4 意志x2,112.6,0
次元異界龍 火(水隊),打火龍,Mikene,Mikene,回能+免疫,✓,迅速(4)+意志(2),迅速x4 意志x2,115.0,0
次元異界龍 火(水隊),打火龍,,Govliet,水晶擊破/輸出,✗未持有,暴走(4)+刀刃(2),,,
次元異界龍 水(風隊),打水龍,Baretta,Baretta,破防+持續,✓,絕望(4)+意志(2),絕望x4 意志x2,117.5,0
次元異界龍 水(風隊),打水龍,,Kona,破防,✗未持有,迅速(4)+集中(2),,,
次元異界龍 水(風隊),打水龍,,Wind Homunculus,固傷/水晶,✗未持有,暴走(4)+刀刃(2),,,
次元異界龍 水(風隊),打水龍,Hemos,Hemos,奶+免疫,✓,迅速(4)+意志(2),迅速x4 意志x2,118.9,0
次元異界龍 水(風隊),打水龍,Lushen,Lushen,斬殺,✓,激怒(4)+刀刃(2),激怒x4 刀刃x2,113.9,0
次元異界龍 風(火隊),打風龍,Tesarion,Tesarion,多段+灼燒,✓,暴走(4)+刀刃(2),暴走x4 刀刃x2,118.0,0
次元異界龍 風(火隊),打風龍,Sath,Sath,破防+持續,✓,絕望(4)+意志(2),絕望x4 意志x2,117.5,0
次元異界龍 風(火隊),打風龍,,Fire Homunculus,固傷/水晶,✗未持有,暴走(4)+刀刃(2),,,
次元異界龍 風(火隊),打風龍,Chandra,Chandra,控場,✓,絕望(4)+意志(2),絕望x4 意志x2,115.9,0
次元異界龍 風(火隊),打風龍,Bernard,Bernard,回能,✓,迅速(4)+意志(2),迅速x4 意志x2,117.5,0
異界縫隙 R5,綜合輸出隊,Galleon,Galleon,破防+攻buff,✓,迅速(4)+意志(2),迅速x4 意志x2,117.2,0
異界縫隙 R5,綜合輸出隊,Verdehile,Verdehile,爆擊回能,✓,暴走(4)+刀刃(2),暴走x4 刀刃x2,118.0,0
異界縫隙 R5,綜合輸出隊,Katarina,Katarina,主力輸出,✓,暴走(4)+刀刃(2),暴走x4 刀刃x2,114.0,0
異界縫隙 R5,綜合輸出隊,Chasun,Chasun,奶+回能,✓,迅速(4)+意志(2),迅速x4 意志x2,115.3,0
異界縫隙 R5,綜合輸出隊,Theomars,Theomars,無視抗性,✓,暴走(4)+刀刃(2),暴走x4 刀刃x2,115.8,0
世界王 Worldboss,高分速刷,Bernard,Bernard,回能,✓,迅速(4)+集中(2),迅速x4 集中x2,114.0,0
世界王 Worldboss,高分速刷,Verdehile,Verdehile,爆擊回能,✓,暴走(4)+刀刃(2),暴走x4 刀刃x2,118.0,0
世界王 Worldboss,高分速刷,Lushen,Lushen,範圍斬殺,✓,激怒(4)+刀刃(2),激怒x4 刀刃x2,112.8,0
世界王 Worldboss,高分速刷,Megan,Megan,攻buff+回能,✓,迅速(4)+意志(2),迅速x4 意志x2,116.2,0
世界王 Worldboss,高分速刷,Spectra,Spectra,多段,✓,暴走(4)+刀刃(2),暴走x4 刀刃x2,114.0,0
